t_1hz,X-coordinate,Y-coordinate,Speed,power consumption,current consuption,Heading,Position confidence,Battery value,RIGHT DRIVE SIGNALS.ActualSpeed_R,LEFT DRIVE SIGNALS.ActualSpeed_L,energy_J_step,scanner_active,Going to ID,Current segment,t_sec,session,interval_check,is_1hz_ok,node_id
411,-4.4521655454545455,-0.006235360909090909,0.000425424,276.3636363636364,6114.818181818182,-1.9138497272727273,86.0909090909091,64.54545454545455,100.0,-99.0,295.95599999999683,0.0,5.0,224.0,411,2,1.0,True,6.0
412,-4.425248727272727,-0.013068917363636363,0.000425424,276.09090909090907,6113.0,-1.5574808181818183,83.54545454545455,64.54545454545455,100.0,-99.0,294.3720000000147,0.0,5.0,224.0,412,2,1.0,True,6.0
413,-4.410321090909091,-0.04085901818181818,0.000425424,277.1818181818182,6139.727272727273,-1.2754312727272727,76.18181818181819,64.54545454545455,100.0,-99.0,295.5959999999759,0.0,5.0,224.0,413,2,1.0,True,6.0
414,-4.3919334999999995,-0.04443560999999999,0.000425424,276.5,6123.5,-0.9190186499999999,53.25,64.5,100.0,-99.0,293.83200000000943,0.0,5.0,224.0,414,2,1.0,True,6.0
415,-4.446805583333334,-0.043721873333333335,0.0004254233333333333,274.25,6072.833333333333,-0.562704625,58.583333333333336,64.58333333333333,89.16666666666667,-88.16666666666667,292.42800000001154,0.0,5.0,224.0,415,2,1.0,True,6.0
416,-4.451990363636363,-0.04930165818181818,0.0004254225454545454,274.09090909090907,6064.0,-0.34018325454545456,58.09090909090909,64.63636363636364,69.27272727272727,-68.81818181818181,293.4719999999885,0.0,5.0,224.0,416,2,1.0,True,6.0
417,-4.4273355,-0.04740689666666667,0.00042542283333333334,274.1666666666667,6066.833333333333,-0.1476030225,47.5,65.0,52.75,-51.75,292.5,0.0,5.0,224.0,417,2,1.0,True,6.0
418,-4.4066655,-0.051182555,0.00021271100000000003,270.0,5986.5,-0.011720445,45.0,65.0,24.5,-24.0,141.51599999999164,0.0,5.0,224.0,418,2,1.0,True,6.0
419,-4.406690454545455,-0.12373756363636365,0.0,242.8181818181818,5363.272727272727,0.022028591818181818,23.181818181818183,65.0,0.0,0.0,265.93200000000945,0.0,5.0,224.0,419,2,1.0,True,6.0
420,-4.406445181818182,-0.13879676363636365,0.0,243.9090909090909,5390.0,0.025114431818181817,32.63636363636363,65.0,0.0,0.0,258.22800000001155,0.0,5.0,224.0,420,2,1.0,True,6.0
421,-4.402287,-0.13039520000000002,0.0,241.33333333333334,5329.0,0.029122233333333334,31.5,65.0,0.0,0.0,254.3759999999864,0.0,5.0,224.0,421,2,1.0,True,6.0
422,-4.370219818181819,-0.12539111818181817,0.07518403636363637,279.0,6181.727272727273,0.043377467272727274,30.09090909090909,64.72727272727273,81.27272727272727,69.27272727272727,292.53600000000733,0.0,5.0,224.0,422,2,1.0,True,6.0
423,-4.177135818181818,-0.13025337272727272,0.2856528909090909,298.27272727272725,6623.727272727273,0.09927029636363637,34.27272727272727,64.0,298.72727272727275,272.54545454545456,314.02799999998535,0.0,5.0,224.0,423,2,1.0,True,6.0
424,-3.9172961666666666,-0.09356400333333333,0.29084818333333334,296.1666666666667,6574.833333333333,0.11100557500000001,38.333333333333336,64.0,284.3333333333333,297.0,314.6039999999979,0.0,5.0,220.0,424,2,1.0,True,6.0
425,-3.6237021818181816,-0.022324856181818183,0.2809732545454545,296.27272727272725,6577.363636363636,0.059853189090909094,46.0,64.0,262.8181818181818,298.45454545454544,311.43600000000737,0.0,5.0,220.0,425,2,1.0,True,33.0
426,-3.3899221818181817,-0.040957700909090906,0.29141543636363637,287.54545454545456,6385.0,0.031250099999999996,43.45454545454545,64.0,297.1818181818182,285.3636363636364,158.83200000000943,0.0,5.0,220.0,426,2,1.0,True,33.0
427,-3.1749736666666664,-0.06361882916666667,0.13276772083333335,286.4166666666667,6343.416666666667,0.2932228083333333,34.083333333333336,64.0,284.4166666666667,-18.666666666666668,306.9360000000073,0.0,5.0,24.0,427,2,1.0,True,33.0
428,-3.1242639090909092,-0.10141137545454545,0.008392453636363637,236.63636363636363,5223.090909090909,0.6209142363636363,19.454545454545453,64.9090909090909,24.0,-7.181818181818182,267.22799999998534,0.0,5.0,24.0,428,2,1.0,True,33.0
