t_1hz,X-coordinate,Y-coordinate,Speed,power consumption,current consuption,Heading,Position confidence,Battery value,RIGHT DRIVE SIGNALS.ActualSpeed_R,LEFT DRIVE SIGNALS.ActualSpeed_L,energy_J_step,scanner_active,Going to ID,Current segment,t_sec,session,interval_check,is_1hz_ok
62,-2.3379282727272725,20.53229909090909,0.29903437272727273,291.3636363636364,6571.272727272727,1.6008164545454546,100.0,61.0,299.0,298.45454545454544,156.23999999997906,0.0,2.0,58.0,62,1,1.0,True
63,-2.3446723333333335,20.808411666666665,0.29903764166666663,292.25,6596.166666666667,1.60167475,100.0,61.0,299.0,298.9166666666667,310.6799999999581,0.0,2.0,58.0,63,1,1.0,True
64,-2.3519867999999997,21.113684,0.29903051,292.0,6584.3,1.6008848999999998,100.0,61.0,298.5,299.0,308.88000000006286,0.0,2.0,58.0,64,1,1.0,True
65,-2.3583113333333334,21.421310000000002,0.2990021666666667,291.0,6565.833333333333,1.6011334999999998,100.0,61.0,299.0,298.6666666666667,313.20000000000005,0.0,2.0,58.0,65,1,1.0,True
66,-2.362680272727273,21.639535454545456,0.15524105727272727,271.1818181818182,6106.181818181818,1.6027161818181819,100.0,61.0,155.27272727272728,155.0909090909091,286.560000000021,0.0,2.0,58.0,66,1,1.0,True
67,-2.36462825,21.75756416666667,0.09954921,267.3333333333333,6017.083333333333,1.604084,100.0,61.0,100.0,100.0,284.7599999999162,0.0,2.0,58.0,67,1,1.0,True
68,-2.3655025000000003,21.831636666666668,0.03956443,242.5,5451.0,1.6041360000000002,100.0,61.666666666666664,39.833333333333336,39.833333333333336,260.28000000006284,0.0,2.0,58.0,68,1,1.0,True
69,-2.365027,21.845419999999997,0.0,231.0,5185.2,1.604162,100.0,62.0,0.0,0.0,127.43999999997905,0.0,2.0,58.0,69,1,1.0,True
70,-2.365027,21.84685,0.0,231.5,5190.5,1.604162,100.0,62.0,0.0,0.0,242.63999999997907,0.0,2.0,58.0,70,1,1.0,True
71,-2.365027,21.845254545454544,0.0,232.0,5194.090909090909,1.604162,100.0,62.0,0.0,0.0,248.4,0.0,2.0,58.0,71,1,1.0,True
72,-2.365027,21.84631818181818,0.0,231.45454545454547,5194.0,1.604162,100.0,62.0,0.0,0.0,250.56000000002098,0.0,2.0,58.0,72,1,1.0,True
73,-2.365027,21.84607,0.0,231.2,5188.8,1.604162,100.0,62.0,0.0,0.0,246.23999999997903,0.0,2.0,58.0,73,1,1.0,True
74,-2.365027,21.843600000000002,0.0,231.0,5184.0,1.604162,100.0,62.0,0.0,0.0,246.96000000002095,0.0,2.0,58.0,74,1,1.0,True
