t_1hz,X-coordinate,Y-coordinate,Speed,power consumption,current consuption,Heading,Position confidence,Battery value,RIGHT DRIVE SIGNALS.ActualSpeed_R,LEFT DRIVE SIGNALS.ActualSpeed_L,energy_J_step,scanner_active,Going to ID,Current segment,t_sec,session,interval_check,is_1hz_ok
1070,-3.4501469090909094,19.91334181818182,0.29895702727272727,288.72727272727275,6606.363636363636,1.603551727272727,100.0,58.0,298.45454545454544,299.0,306.0,0.0,1.0,70.0,1070,1,1.0,True
1071,-3.457315363636364,20.192276363636363,0.29884100909090905,287.45454545454544,6579.545454545455,1.6031202727272729,100.0,58.0,298.45454545454544,299.0,305.63999999997907,0.0,1.0,74.0,1071,1,1.0,True
1072,-3.463265,20.4751325,0.29910855,289.75,6631.75,1.602833333333333,100.0,58.0,299.0,299.0,311.76000000002097,0.0,1.0,74.0,1072,1,1.0,True
1073,-3.469123909090909,20.77151818181818,0.2991117272727273,290.6363636363636,6652.909090909091,1.6016661818181817,100.0,58.0,299.0,298.54545454545456,155.15999999991618,0.0,1.0,74.0,1073,1,1.0,True
1074,-3.475139363636363,21.012067272727275,0.2990344181818182,289.90909090909093,6637.818181818182,1.6034554545454547,100.0,58.0,299.0,298.90909090909093,305.64000000008383,0.0,1.0,74.0,1074,1,1.0,True
1075,-3.483131,21.325435,0.29893126666666664,287.6666666666667,6582.833333333333,1.6029790000000002,100.0,58.0,298.6666666666667,299.0,310.3199999999372,0.0,1.0,74.0,1075,1,1.0,True
1076,-3.489062272727273,21.571036363636363,0.2394750272727273,271.27272727272725,6192.818181818182,1.601577090909091,100.0,58.0,239.63636363636363,239.27272727272728,291.96000000002095,0.0,1.0,74.0,1076,1,1.0,True
1077,-3.49235375,21.7151125,0.100506425,259.0,5907.5,1.6022402500000001,100.0,58.25,101.0,100.75,284.76000000002097,0.0,1.0,74.0,1077,1,1.0,True
1152,-3.4865095833333335,21.514155,0.295279675,288.0,6596.25,-1.5529878333333331,97.66666666666667,58.0,291.8333333333333,298.5833333333333,308.160000000021,0.0,3.0,72.0,1152,1,1.0,True
1153,-3.4892577272727276,21.251166363636365,0.297294,287.54545454545456,6581.454545454545,-1.5513152727272725,99.0,58.0,299.0,295.3636363636364,153.0,0.0,3.0,72.0,1153,1,1.0,True
1154,-3.4822419090909094,20.97494272727273,0.2988410181818182,287.54545454545456,6576.909090909091,-1.547940181818182,99.36363636363636,58.0,299.0,298.45454545454544,309.6,0.0,3.0,72.0,1154,1,1.0,True
1155,-3.477959333333333,20.702055,0.2984349,288.8333333333333,6610.0,-1.5463001666666667,100.0,58.0,299.0,297.5,312.11999999993714,0.0,3.0,72.0,1155,1,1.0,True
